REFERENCE,ISSUE,TITLE,MSN,MSN_STANDARD,FAL_IDENTIFIER,VERSION_RANK,ATA,STATION_NAME,TYPE_NAME,COMPLEMENT_LABEL,COMPLEMENT,GTI_IDENT,RTI_IDENT,STATUS,URGENT_NEED,GTD_IMPUTATION,CREATION_DATE,OPEN_DATE,ANALYSE_DATE,ANSWER_DATE,CLOSURE_DATE,CANCEL_DATE,LAST_REALLOCATED_NAME,LAST_REALLOCATED_DATE,REALLOCATED_REASON,MULTI_ANSWER,TEXT,ANSWER_TYPE_NAME,ANSWER_COMPLEMENT_LABEL,ANSWER_COMPLEMENT
N6101DU0232,1,Remplacement pack clim,6101,ST5,S,D0051/1,,ST21,Intervention,WO/NC/Input,214180155,,,CLOSED,N,N,2025-06-05 15:14:00,2025-06-05 15:14:00,2025-06-05 15:32:00,2025-06-05 15:32:00,2025-06-05 17:17:00,,,,,N,"#[NV]#NC#214180155#PN#2301D0000-01#  NC: 214180155 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] Part Number: 2301D0000-01  Rubriques: Prises Prises: Prise débranchée/rebranchée Liste des FINs impactés (Prises): 13HH-A // 11HH-A // 10HH-A // 12HH-A // 113HW-A // 117HW-A // 115HW-A  Texte libre : (complément d'informations): Suite à la NC214180155, signalons le remplacement du pack clim. Prises déconnectées 13HH-A // 11HH-A // 10HH-A // 12HH-A // 113HW-A // 117HW-A // 115HW-A. Demandons reprise d'essai si nécessaire",Intervention,WO/NC/Input,214180155
N13250DU0041,1,DQN C20E276A - DSKE92C20E276C1M,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027868661,,,OPEN,N,N,2026-01-12 15:10:00,2026-01-12 15:10:00,,,,,BSENT,2026-01-12 15:17:00,Mickael,Y,"#[NM]#WO#1027868661#PN#NSA937901FM#  Work order Number: 1027868661 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Elément manquant / non installé [NM] Part Number: NSA937901FM  Rubriques: Eléments mécanique Pièces structure avion: Autres Dépose / Pose ou Remplacement: Dépose / Pose Système: Autres Côté: Gauche Repère mécanique (P/N) ou FIN: NSA937901FM Zone (ex : Ventre Mou, Voilure&Nervure, Fuselage&Cadre, Moteur, etc...): Soute 1 Panneaux ou portes ouvertes pour accéder à l'élément : : Non  Texte libre : (complément d'informations): Suite au DQN C20E276A - DSKE92C20E276C1M, signalons le montage du faux module NSA937901FM sur la 7504VT. Demandons reprise d'essai si nécessaire Numéro de téléphone pro: 0676759084",Intervention,WO/NC/Input,1027868661
N13250DU0040,1,DEPOSE REPOSE 621BT/521BT,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027913136,,,ANSWERED,N,N,2026-01-09 09:53:00,2026-01-09 09:53:00,2026-01-09 12:08:00,2026-01-09 12:08:00,,,BSENT,2026-01-09 10:01:00,Mickael,Y,#[NV]#WO#1027913136#FIN#621BT/521BT#  Work order Number: 1027913136 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 621BT/521BT  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Les deux Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 621BT/521BT Précisez la zone: EXTRADOS BORD D ATTAQUE VOILURE GAUCHE ET DROITE  Texte libre : (complément d'informations): DESPOE REOSE 621BT/521BT Numéro de téléphone pro: 0667947611 ,Intervention,WO/NC/Input,1027913136
N13250DU0039,1,dépose repose des panneaux 621Ab/BB/CB/EB,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027909397,,,CLOSED,N,N,2026-01-08 22:30:00,2026-01-08 22:30:00,2026-01-09 10:56:00,2026-01-09 10:56:00,2026-01-12 07:22:00,,BSENT,2026-01-09 07:59:00,pierre,Y,"#[NM]#WO#1027909397#FIN#621Ab/BB/CB/EB#  Work order Number: 1027909397 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 621Ab/BB/CB/EB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Droit Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 621AB/BB/CB/EB Précisez la zone: voilure droite  Texte libre : (complément d'informations): suite à la dépose repose des panneaux 621 AB/BB/CB/EB, veuillez définir les essais à reprendre  Numéro de téléphone pro: 06 28 45 53 10",Intervention,WO/NC/Input,1027909397
N13250DU0038,1,dépose repose 521AB/BB/CB/EB ,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027909370,,,CLOSED,N,N,2026-01-08 22:18:00,2026-01-08 22:18:00,2026-01-09 10:35:00,2026-01-09 10:35:00,2026-01-12 07:22:00,,BSENT,2026-01-09 07:59:00,pierre,Y,#[NM]#WO#1027909370#FIN#521AB/BB/CB/EB#  Work order Number: 1027909370 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 521AB/BB/CB/EB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 521AB/BB/CB/EB Précisez la zone: voilure gauche  Texte libre : (complément d'informations): suite a la dépose des panneaux 521AB/BB/CB/EB veuillez définir les essais à reprendre Numéro de téléphone pro: 06 28 45 53 10 ,Intervention,WO/NC/Input,1027909370
N13250DU0037,1,"Prélèvement N°215856796, remplacement du FAP (120RH)",13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027581844,,,CLOSED,N,N,2026-01-07 22:23:00,2026-01-07 22:23:00,2026-01-08 08:22:00,2026-01-08 08:22:00,2026-01-08 12:33:00,,BSENT,2026-01-08 08:00:00,pierre,Y,"#[NM]#WO#1027581844#FIN#120RH#  Work order Number: 1027581844 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Électrique Type de défaut (2 letter code): Elément manquant / non installé [NM] FIN Number: 120RH  Rubriques: Elément cabine Elément à déposer: VCC FIN des prises débranchées: 120RH A // 120RH B  Texte libre : (complément d'informations): Suite au prélèvement N°215856796, remplacement du FAP (120RH) Numéro de téléphone pro: 0661810794",Intervention,WO/NC/Input,1027581844
N13250DU0036,1,dépose repose du panneau 191 AB,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027886681,,,CLOSED,N,N,2026-01-07 20:59:00,2026-01-07 20:59:00,2026-01-08 14:34:00,2026-01-08 14:34:00,2026-01-08 22:20:00,,BSENT,2026-01-08 07:59:00,pierre,Y,#[NM]#WO#1027886681#FIN#191AB#  Work order Number: 1027886681 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Pièce manquante [NM] FIN Number: 191AB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 191AB Précisez la zone: ventre mou  Texte libre : (complément d'informations): Suite a la dépose repose du panneau 191 AB veuillez définir les essais a reprendre Numéro de téléphone pro: 06 28 45 53 10,Intervention,WO/NC/Input,1027886681
N13250DU0035,1,"Pylon LH, RPF, Retorquage tuyauterie D2902082800000",13250,ST5,S,C8J11/4,29.0,ST21,Intervention,WO/NC/Input,215947849,,,CLOSED,N,N,2026-01-07 14:07:00,2026-01-07 14:07:00,2026-01-07 17:43:00,2026-01-07 17:43:00,2026-01-08 07:36:00,,BSENT,2026-01-07 16:23:00,Mickael,Y,"#[NL]#NC#215947849#PN#D2902082800000#  NC: 215947849 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Fonctionnelle Type de défaut (2 letter code): Fuite [NL] Part Number: D2902082800000  Rubriques: Eléments mécanique Pièces structure avion: Tuyauteries Dépose / Pose ou Remplacement: Dépose / Pose Système: Hydraulique Circuit: Vert Précisez la référence (P/N): D2902082800000 Identification ligne: Haute pression Zone (ex : Ventre Mou, Voilure&Nervure, Fuselage&Cadre, Moteur, etc...): Pylon LH Tenant ou aboutissant de la ligne (FIN + port hydraulique): La bâche hydraulique a t-elle été vidée ?: NON  Texte libre : (complément d'informations): Suite à NC215947849, signalons le détorquage et retorquage de la tuyauterie D2902082800000. Demandons reprise d'essai si nécessaire Numéro de téléphone pro: 0676759084",Intervention,WO/NC/Input,215947849
N13250DU0034,1,DEPOSE REPOSE PANNEAUX 540AB/540BB/640AB/640BB,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027713995,,,CLOSED,N,N,2026-01-07 09:49:00,2026-01-07 09:49:00,2026-01-07 10:25:00,2026-01-07 10:50:00,2026-01-07 12:06:00,,BSENT,2026-01-07 10:09:00,Mickael ATA 20: B.TORRA ATA 28: P-A.LISSALDE,Y,#[NV]#WO#1017713995#FIN#540AB/BB/640AB/BB#  Work order Number: 1017713995 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 540AB/BB/640AB/BB  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Les deux Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 540AB/540BB/640AB/640BB Précisez la zone: VOILURE DROITE ET GAUCHE  Texte libre : (complément d'informations): DEPOSE REPOSE PANNEAUX 540AB/540BB/640AB/640BB  Numéro de téléphone pro: 0667947611,Intervention,WO/NC/Input,1027713995
N13250DU0033,1,depose repose panneaux 191BT/191CT,13250,ST5,S,C8J11/4,,ST21,Intervention,WO/NC/Input,1027737760,,,CLOSED,N,N,2026-01-07 09:36:00,2026-01-07 09:36:00,2026-01-07 10:08:00,2026-01-07 10:08:00,2026-01-07 12:05:00,,BSENT,2026-01-07 09:59:00,Mickael,Y,#[NV]#WO#1027737760#FIN#191BT/191CT#  Work order Number: 1027737760 Type de défaut (code à 2 lettres) - Choisissez d'abord la catégorie du défaut: Installation Mécanique Type de défaut (2 letter code): Défauts visuels sur les pièces [NV] FIN Number: 191BT/191CT  Rubriques: Eléments mécanique Pièces structure avion: Panneaux Côté: Gauche Dépose / Pose ou Remplacement: Dépose / Pose Précisez N° de panneau: 191BT/191CT Précisez la zone: BELLY FAIRING GAUCHE  Texte libre : (complément d'informations): depose repose panneau 191bt/191ct Numéro de téléphone pro: 0667947611,Intervention,WO/NC/Input,1027737760
